"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"6p1/2","6s1/2","16.6143840","0.0408650","16.614(41)","6457.6139","0.2089","6457.6(2)","1038459.5240","5109.416551","1.0385(51)E+06","0.3543983899586926","0.008566625960362782","0.3544(86)","","","",""
"6p1/2","3d3/2","1.0105759","0.0298380","1.011(30)","1340.0726","0.0090","1340.073(9)","429922.4822","25387.559261","4.30(25)E+05","0.1467210151018924","0.008091066214682799","0.1467(81)","","","",""
"6p1/2","4d3/2","14.5355900","0.4923250","14.54(49)","6245.6164","0.1960","6245.6(2)","878570.7267","59514.990562","8.79(60)E+05","0.2998326307739627","0.01473245713999157","0.300(15)","","","",""
"6p3/2","4s1/2","0.1276491","0.0082873","0.1276(83)","344.7359","0.0006","344.7359(6)","201457.3723","26158.236642","2.01(26)E+05","0.06702733757853034","0.008230543451743308","0.0670(82)","","","",""
"6p3/2","5s1/2","1.2919374","0.0171022","1.292(17)","1252.9509","0.0079","1252.951(8)","429821.5102","11379.646261","4.30(11)E+05","0.14300688595738756","0.004474956382481157","0.1430(45)","","","",""
"6p3/2","6s1/2","23.4476310","0.0585600","23.448(59)","6422.6092","0.2066","6422.6(2)","1051164.6816","5251.506501","1.0512(53)E+06","0.3497353766406962","0.0077118165145761116","0.3497(77)","","","",""
"6p3/2","3d3/2","0.4549326","0.0130352","0.455(13)","1338.5587","0.0090","1338.559(9)","43710.8409","2504.896717","4.37(25)E+04","0.014543132641342356","0.0008806930190783238","0.01454(88)","","","",""
"6p3/2","3d5/2","1.3650863","0.0389850","1.365(39)","1338.1453","0.0090","1338.145(9)","393928.7781","22500.136986","3.94(23)E+05","0.13106493397708763","0.007040926658935412","0.1311(70)","","","",""
"6p3/2","4d3/2","6.4725253","0.2200436","6.47(22)","6212.8665","0.1940","6212.9(2)","88486.8570","6016.503337","8.85(60)E+04","0.029440662145830077","0.002045984399113492","0.0294(20)","","","",""
"6p3/2","4d5/2","19.4061240","0.6594820","19.41(66)","6208.7390","0.1937","6208.7(2)","797030.0560","54171.299099","7.97(54)E+05","0.26518167105912577","0.013646368171556705","0.265(14)","","","",""
"7p1/2","4s1/2","0.0391797","0.0042106","0.0392(42)","321.8549","0.0006","321.8549(6)","46642.2068","10025.175081","4.7(10)E+04","0.030475148253294653","0.006397663571741575","0.0305(64)","","","",""
"7p1/2","5s1/2","0.3350772","0.0043799","0.3351(44)","995.6838","0.0060","995.684(6)","115229.2486","3012.396579","1.152(30)E+05","0.07528864252131377","0.0026818750299435036","0.0753(27)","","","",""
"7p1/2","6s1/2","1.7044361","0.0127513","1.704(13)","2763.0495","0.0459","2763.05(5)","139518.8106","2087.559706","1.395(21)E+05","0.09115898940363705","0.002690977173490543","0.0912(27)","","","",""
"7p1/2","7s1/2","25.5981820","0.0593390","25.598(59)","12568.3198","0.9490","12568.3(9)","334367.3679","1552.039273","3.344(16)E+05","0.21846940367822176","0.005782126342806179","0.2185(58)","","","",""
"7p1/2","3d3/2","0.4885917","0.0171268","0.489(17)","1048.9974","0.0066","1048.997(7)","209510.7123","14688.125890","2.10(15)E+05","0.1368903929769483","0.008932228295675063","0.1369(89)","","","",""
"7p1/2","4d3/2","2.3659055","0.0916760","2.366(92)","2723.4947","0.0447","2723.49(4)","280706.5032","21754.084916","2.81(22)E+05","0.1834083952518141","0.012291329922607749","0.183(12)","","","",""
"7p1/2","5d3/2","24.0360600","0.8440010","24.04(84)","11310.2673","0.7685","11310.3(8)","404524.9014","28409.053685","4.05(28)E+05","0.26430902791477034","0.014508618179439724","0.264(15)","","","",""
"7p3/2","4s1/2","0.0614110","0.0058212","0.0614(58)","321.8083","0.0006","321.8083(6)","57320.2281","10866.864630","5.7(11)E+04","0.03650943257165255","0.00671809348513475","0.0365(67)","","","",""
"7p3/2","5s1/2","0.4905755","0.0066098","0.4906(66)","995.2379","0.0060","995.238(6)","123662.5864","3332.352086","1.237(33)E+05","0.07876540289196664","0.0026763333152359076","0.0788(27)","","","",""
"7p3/2","6s1/2","2.4561692","0.0178866","2.456(18)","2759.6183","0.0458","2759.62(5)","145404.1649","2117.770469","1.454(21)E+05","0.09261344086642297","0.002477513328249351","0.0926(25)","","","",""
"7p3/2","7s1/2","36.1151140","0.0852140","36.115(85)","12497.6364","0.9383","12497.6(9)","338455.5510","1598.997294","3.385(16)E+05","0.21557520843191225","0.005080813168169662","0.2156(51)","","","",""
"7p3/2","3d3/2","0.2201503","0.0074180","0.2202(74)","1048.5025","0.0066","1048.502(7)","21297.9356","1435.274836","2.13(14)E+04","0.013565464953287953","0.0009554774368040562","0.01357(96)","","","",""
"7p3/2","3d5/2","0.6606171","0.0221607","0.661(22)","1048.2488","0.0066","1048.249(7)","191917.1660","12875.897124","1.92(13)E+05","0.12223933964677765","0.007676327758937942","0.1222(77)","","","",""
"7p3/2","4d3/2","1.0628488","0.0394000","1.063(39)","2720.1610","0.0445","2720.16(4)","28429.3195","2107.760643","2.84(21)E+04","0.01810771447444908","0.0013838501863578634","0.0181(14)","","","",""
"7p3/2","4d5/2","3.1896403","0.1173393","3.19(12)","2719.3695","0.0445","2719.37(4)","256263.0965","18854.627002","2.56(19)E+05","0.163223709242737","0.010564168243412638","0.163(11)","","","",""
"7p3/2","5d3/2","10.7006350","0.3773050","10.70(38)","11252.9939","0.7607","11253.0(8)","40702.6018","2870.363988","4.07(29)E+04","0.025925034580199628","0.0018798876009811479","0.0259(19)","","","",""
"7p3/2","5d5/2","32.0849350","1.1291550","32.1(11)","11246.6191","0.7599","11246.6(8)","366558.8253","25800.485284","3.67(26)E+05","0.23347525234059427","0.013173439193631177","0.233(13)","","","",""
"8p1/2","4s1/2","0.0226023","0.0032053","0.0226(32)","310.2946","0.0006","310.2946(6)","17322.8764","4913.218192","1.73(49)E+04","0.01894618981764771","0.0052955192956984564","0.0189(53)","","","",""
"8p1/2","5s1/2","0.1837349","0.0026836","0.1837(27)","892.7863","0.0048","892.786(5)","48059.3736","1403.893923","4.81(14)E+04","0.052562980526472576","0.0020290309823503146","0.0526(20)","","","",""
"8p1/2","6s1/2","0.6671077","0.0069661","0.6671(70)","2093.4825","0.0263","2093.48(3)","49138.4203","1026.232221","4.91(10)E+04","0.05374314384868439","0.0017951928531889857","0.0537(18)","","","",""
"8p1/2","7s1/2","2.7330876","0.0179103","2.733(18)","5119.8262","0.1575","5119.8(2)","56386.9700","739.041498","5.639(74)E+04","0.06167094958055543","0.0018264255571855217","0.0617(18)","","","",""
"8p1/2","8s1/2","36.4575480","0.0794170","36.458(79)","21642.0564","2.8138","21642(3)","132836.2633","581.040236","1.3284(58)E+05","0.14528424720324834","0.00395233371341725","0.1453(40)","","","",""
"8p1/2","3d3/2","0.3112920","0.0160441","0.311(16)","935.4141","0.0053","935.414(5)","119939.2792","12363.426076","1.20(12)E+05","0.13117869666793536","0.012139815208356332","0.131(12)","","","",""
"8p1/2","4d3/2","1.1468082","0.0448248","1.147(45)","2070.6965","0.0258","2070.70(3)","150061.5945","11730.787647","1.50(12)E+05","0.16412375100899088","0.011408193952497338","0.164(11)","","","",""
"8p1/2","5d3/2","4.1114024","0.1493401","4.11(15)","4897.8975","0.1441","4897.9(1)","145743.1722","10587.781909","1.46(11)E+05","0.15940065260981093","0.010478773914019197","0.159(10)","","","",""
"8p1/2","6d3/2","35.8124140","1.2217430","35.8(12)","18822.6826","2.1284","18823(2)","194831.8464","13293.568348","1.95(13)E+05","0.2130893887366544","0.01242129802957883","0.213(12)","","","",""
"8p3/2","4s1/2","0.0363773","0.0044349","0.0364(44)","310.2689","0.0006","310.2689(6)","22441.5889","5471.885082","2.24(55)E+04","0.023933775503325646","0.005722826535109253","0.0239(57)","","","",""
"8p3/2","5s1/2","0.2710767","0.0038040","0.2711(38)","892.5735","0.0048","892.574(5)","52343.1328","1469.055143","5.23(15)E+04","0.05582353355752851","0.0019874727707615415","0.0558(20)","","","",""
"8p3/2","6s1/2","0.9694257","0.0098344","0.9694(98)","2092.3130","0.0263","2092.31(3)","51970.4410","1054.436638","5.20(11)E+04","0.055426060695563655","0.0016937413352364765","0.0554(17)","","","",""
"8p3/2","7s1/2","3.9302019","0.0251113","3.930(25)","5112.8370","0.1570","5112.8(2)","58539.7952","748.077893","5.854(75)E+04","0.06243222453196776","0.0016644013411980503","0.0624(17)","","","",""
"8p3/2","8s1/2","51.4258750","0.1138530","51.43(11)","21517.7178","2.7815","21518(3)","134456.5839","597.632460","1.3446(60)E+05","0.14339687394318995","0.003459102671970218","0.1434(35)","","","",""
"8p3/2","3d3/2","0.1402935","0.0069730","0.1403(70)","935.1806","0.0053","935.181(5)","12189.7832","1211.736244","1.22(12)E+04","0.013000306512332811","0.0013124782445534653","0.0130(13)","","","",""
"8p3/2","3d5/2","0.4209855","0.0208374","0.421(21)","934.9788","0.0053","934.979(5)","109833.8836","10872.833386","1.10(11)E+05","0.11713696056584898","0.010523890266442381","0.117(11)","","","",""
